ds,ticker,y
2023-06-20 22:00:00,방이동 먹자골목,0.0363
2023-06-20 22:00:00,올림픽공원세계평화의문,0.01393
2023-06-20 22:00:00,잠실역 롯데월드,0.01838
2023-06-20 23:00:00,롯데백화점에비뉴엘월드타워점,0.00617
2023-06-20 23:00:00,롯데월드몰,0.00066
2023-06-20 23:00:00,롯데월드잠실점,0.00386
2023-06-20 23:00:00,방이동 먹자골목,0.03317
2023-06-20 23:00:00,올림픽공원세계평화의문,0.0003
2023-06-20 23:00:00,잠실역 롯데월드,0.01473
2023-06-21 00:00:00,롯데백화점에비뉴엘월드타워점,0.00501
2023-06-21 00:00:00,롯데월드몰,0.00047
2023-06-21 00:00:00,롯데월드잠실점,0.00173
2023-06-21 00:00:00,방이동 먹자골목,0.02905
2023-06-21 00:00:00,올림픽공원세계평화의문,0.0
2023-06-21 00:00:00,잠실역 롯데월드,0.01269
2023-06-21 01:00:00,롯데백화점에비뉴엘월드타워점,0.00559
2023-06-21 01:00:00,롯데월드몰,0.00028
2023-06-21 01:00:00,롯데월드잠실점,0.00205
2023-06-21 01:00:00,방이동 먹자골목,0.02606
2023-06-21 01:00:00,올림픽공원세계평화의문,0.0
2023-06-21 01:00:00,잠실역 롯데월드,0.0115
2023-06-21 02:00:00,롯데백화점에비뉴엘월드타워점,0.00566
2023-06-21 02:00:00,롯데월드몰,0.00032
2023-06-21 02:00:00,롯데월드잠실점,0.00181
2023-06-21 02:00:00,방이동 먹자골목,0.0252
2023-06-21 02:00:00,올림픽공원세계평화의문,0.0
2023-06-21 02:00:00,잠실역 롯데월드,0.01181
2023-06-21 03:00:00,롯데백화점에비뉴엘월드타워점,0.00479
2023-06-21 03:00:00,롯데월드몰,0.00032
2023-06-21 03:00:00,롯데월드잠실점,0.00118
2023-06-21 03:00:00,방이동 먹자골목,0.02357
2023-06-21 03:00:00,올림픽공원세계평화의문,0.0
2023-06-21 03:00:00,잠실역 롯데월드,0.01167
2023-06-21 04:00:00,롯데백화점에비뉴엘월드타워점,0.00384
2023-06-21 04:00:00,롯데월드몰,0.00017
2023-06-21 04:00:00,롯데월드잠실점,0.00055
2023-06-21 04:00:00,방이동 먹자골목,0.02256
2023-06-21 04:00:00,올림픽공원세계평화의문,0.0
2023-06-21 04:00:00,잠실역 롯데월드,0.0116
2023-06-21 05:00:00,롯데백화점에비뉴엘월드타워점,0.0042
2023-06-21 05:00:00,롯데월드몰,0.00023
2023-06-21 05:00:00,롯데월드잠실점,0.00102
2023-06-21 05:00:00,방이동 먹자골목,0.02242
2023-06-21 05:00:00,올림픽공원세계평화의문,0.0
2023-06-21 05:00:00,잠실역 롯데월드,0.01192
2023-06-21 06:00:00,롯데백화점에비뉴엘월드타워점,0.00576
2023-06-21 06:00:00,롯데월드몰,0.00055
2023-06-21 06:00:00,롯데월드잠실점,0.00236
2023-06-21 06:00:00,방이동 먹자골목,0.02395
2023-06-21 06:00:00,올림픽공원세계평화의문,0.0
2023-06-21 06:00:00,잠실역 롯데월드,0.01401
2023-06-21 07:00:00,롯데백화점에비뉴엘월드타워점,0.01124
2023-06-21 07:00:00,롯데월드몰,0.00291
2023-06-21 07:00:00,롯데월드잠실점,0.00723
2023-06-21 07:00:00,방이동 먹자골목,0.02518
2023-06-21 07:00:00,올림픽공원세계평화의문,0.02138
2023-06-21 07:00:00,잠실역 롯데월드,0.01622
2023-06-21 08:00:00,롯데백화점에비뉴엘월드타워점,0.01402
2023-06-21 08:00:00,롯데월드몰,0.00403
2023-06-21 08:00:00,롯데월드잠실점,0.00864
2023-06-21 08:00:00,방이동 먹자골목,0.0279
2023-06-21 08:00:00,올림픽공원세계평화의문,0.02548
2023-06-21 08:00:00,잠실역 롯데월드,0.02046
2023-06-21 09:00:00,롯데백화점에비뉴엘월드타워점,0.02362
2023-06-21 09:00:00,롯데월드몰,0.00521
2023-06-21 09:00:00,롯데월드잠실점,0.01429
2023-06-21 09:00:00,방이동 먹자골목,0.03018
2023-06-21 09:00:00,올림픽공원세계평화의문,0.029
2023-06-21 09:00:00,잠실역 롯데월드,0.0246
2023-06-21 10:00:00,롯데백화점에비뉴엘월드타워점,0.0412
2023-06-21 10:00:00,롯데월드몰,0.00904
2023-06-21 10:00:00,롯데월드잠실점,0.07297
2023-06-21 10:00:00,방이동 먹자골목,0.03122
2023-06-21 10:00:00,올림픽공원세계평화의문,0.03427
2023-06-21 10:00:00,잠실역 롯데월드,0.03152
2023-06-21 11:00:00,롯데백화점에비뉴엘월드타워점,0.07329
2023-06-21 11:00:00,롯데월드몰,0.01618
2023-06-21 11:00:00,롯데월드잠실점,0.10195
